"GEOID","NAME","LSAD","LAND_AREA_M2","WATER_AREA_M2"
"0625380","Fountain Valley","25",23495176,33638
"0639178","Laguna Beach","25",23036582,2512751
"0639220","Laguna Hills","25",16960505,63580
"0639259","Laguna Woods","25",8655358,2375
"0639496","Lake Forest","25",43288926,202929
"0631960","Hanford","25",45249768,0
"0613882","Clayton","25",9945279,0
"0621796","El Cerrito","25",9509903,0
"0633308","Hercules","25",16608748,35156475
"0649187","Moraga","43",24504014,22901
"0640704","Lathrop","25",51349617,3058352
"0642202","Lodi","25",35327014,581028
"0645484","Manteca","25",55396449,61889
"0680238","Tracy","25",67767482,351998
"0637692","Jurupa Valley","25",111216608,1914754
"0609878","Calipatria","25",9579219,0
"0644364","Loyalton","25",920711,0
"0608058","Brawley","25",21024324,0
"0622412","El Segundo","25",14148731,13722008
"0632506","Hawaiian Gardens","25",2447971,30331
"0633364","Hermosa Beach","25",3692737,12981384
"0633518","Hidden Hills","25",4372993,0
"0630798","Grass Valley","25",13765037,0
"0656000","Pasadena","25",59471291,366889
"0651182","Newport Beach","25",61626136,75442104
"0670000","Santa Monica","25",21782142,22696935
"0609710","Calexico","25",22324358,0
"0621782","El Centro","25",31000922,45518
"0634246","Holtville","25",2988033,11902
"0636280","Imperial","25",16292294,0
"0684606","Westmorland","25",1528294,0
"0613588","Citrus Heights","25",36820409,0
"0622020","Elk Grove","25",108760535,533192
"0628112","Galt","25",18508749,34676
"0664000","Sacramento","25",255399993,5413141
"0634120","Hollister","25",20622323,0
"0612552","Cerritos","25",22602736,338649
"0616742","Covina","25",18222856,32773
"0642468","Lomita","25",4952726,0
"0645400","Manhattan Beach","25",10189493,16389932
"0646492","Maywood","25",3034744,0
"0648648","Monrovia","25",35306568,282054
"0666070","San Dimas","25",38933497,1009641
"0622300","El Paso de Robles (Paso Robles)","25",50871201,29864
"0649362","Morro Bay","25",13796052,12945212
"0668154","San Luis Obispo","25",34458922,379316
"0653070","Oakley","25",41091677,789638
"0614274","Coalinga","25",17734580,79727
"0624134","Firebaugh","25",9109031,143103
"0625436","Fowler","25",6639870,0
"0638562","Kingsburg","25",9627176,0
"0601514","Amador City","25",801747,0
"0636672","Ione","25",11861672,118011
"0636980","Jackson","25",9277425,0
"0657834","Plymouth","25",6860201,32811
"0646828","Mendota","25",8788277,8333
"0654008","Orange Cove","25",4640753,0
"0655856","Parlier","25",6238407,0
"0660242","Reedley","25",14429457,185397
"0667056","Sanger","25",14937114,0
"0670882","Selma","25",15041784,0
"0683668","Watsonville","25",17577553,247360
